127.0.0.1, 2011-08-14 18:56:30, GET, /infovis/static/js/superfish.js, HTTP/1.1, 200, 0.000520
127.0.0.1, 2011-08-14 18:56:30, GET, /infovis/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000480
127.0.0.1, 2011-08-14 18:56:30, GET, /infovis/static/js/jquery.js, HTTP/1.1, 200, 0.000424
127.0.0.1, 2011-08-14 18:56:30, GET, /infovis/static/js/calendar.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2011-08-14 18:56:30, GET, /infovis/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000537
127.0.0.1, 2011-08-14 18:56:30, GET, /infovis/static/images/poweredby.png, HTTP/1.1, 200, 0.000352
127.0.0.1, 2011-08-14 18:56:30, GET, /infovis/static/images/shadow.png, HTTP/1.1, 200, 0.000411
127.0.0.1, 2011-08-14 18:56:31, GET, /infovis/static/favicon.ico, HTTP/1.1, 200, 0.000528
127.0.0.1, 2011-08-14 19:05:34, GET, /infovis/visual/test, HTTP/1.1, 404, 0.014728
127.0.0.1, 2011-08-14 19:05:40, GET, /infovis/visual/treemap, HTTP/1.1, 500, 0.165758
127.0.0.1, 2011-08-14 19:05:48, GET, /infovis/visual/treemap.html, HTTP/1.1, 500, 0.077798
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/default/ticket/infovis/127.0.0.1.2011-08-14.19-05-48.71c8faeb-07a2-4e61-a2e7-b30b0b3f895d, HTTP/1.1, 200, 0.096836
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000485
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000388
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.001083
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000501
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000448
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.001207
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.002184
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000485
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000439
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.000542
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/images/button.png, HTTP/1.1, 404, 0.000314
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.000369
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000410
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.000387
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.000363
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.000511
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.000550
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.000492
127.0.0.1, 2011-08-14 19:05:51, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000394
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/default/ticket/infovis/127.0.0.1.2011-08-14.19-05-48.71c8faeb-07a2-4e61-a2e7-b30b0b3f895d, HTTP/1.1, 200, 0.097158
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000641
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000505
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000357
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000427
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000442
127.0.0.1, 2011-08-14 19:06:10, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000377
